month,q10,q50,q90,q10_5y,q50_5y,q90_5y
2026-08,2.9579,2.9982,3.0383,3.4068,3.4877,3.5709
2026-09,2.9390,2.9951,3.0543,3.3645,3.4793,3.5952
2026-10,2.9234,2.9927,3.0634,3.3332,3.4697,3.6071
2026-11,2.9103,2.9898,3.0707,3.3011,3.4616,3.6157
2026-12,2.9009,2.9879,3.0796,3.2733,3.4510,3.6244
2027-01,2.8893,2.9861,3.0858,3.2495,3.4394,3.6267
2027-02,2.8814,2.9850,3.0921,3.2284,3.4305,3.6306
2027-03,2.8704,2.9837,3.0965,3.2081,3.4222,3.6350
2027-04,2.8620,2.9810,3.0992,3.1820,3.4121,3.6332
2027-05,2.8518,2.9781,3.1056,3.1665,3.4046,3.6359
2027-06,2.8440,2.9763,3.1096,3.1550,3.3960,3.6366
2027-07,2.8377,2.9749,3.1128,3.1377,3.3866,3.6315
2027-08,2.8276,2.9710,3.1171,3.1196,3.3800,3.6345
2027-09,2.8229,2.9678,3.1183,3.1048,3.3704,3.6318
2027-10,2.8173,2.9657,3.1182,3.0896,3.3631,3.6313
2027-11,2.8103,2.9645,3.1242,3.0767,3.3495,3.6316
2027-12,2.8034,2.9618,3.1222,3.0578,3.3394,3.6342
2028-01,2.7996,2.9590,3.1223,3.0520,3.3355,3.6351
2028-02,2.7907,2.9579,3.1257,3.0397,3.3322,3.6293
2028-03,2.7848,2.9550,3.1294,3.0278,3.3252,3.6262
2028-04,2.7800,2.9515,3.1302,3.0122,3.3164,3.6221
2028-05,2.7759,2.9515,3.1293,3.0042,3.3120,3.6203
2028-06,2.7684,2.9496,3.1282,2.9887,3.3057,3.6109
2028-07,2.7644,2.9475,3.1320,2.9769,3.2991,3.6156
2028-08,2.7567,2.9453,3.1336,2.9612,3.2947,3.6118
2028-09,2.7499,2.9436,3.1340,2.9561,3.2861,3.6076
2028-10,2.7473,2.9421,3.1354,2.9464,3.2797,3.6011
2028-11,2.7406,2.9430,3.1379,2.9380,3.2739,3.6002
2028-12,2.7353,2.9405,3.1339,2.9295,3.2707,3.5975
2029-01,2.7308,2.9379,3.1370,2.9247,3.2619,3.5888
2029-02,2.7256,2.9364,3.1345,2.9129,3.2596,3.5902
2029-03,2.7243,2.9324,3.1380,2.9057,3.2515,3.5824
2029-04,2.7205,2.9345,3.1357,2.8965,3.2446,3.5799
2029-05,2.7138,2.9300,3.1350,2.8817,3.2426,3.5851
2029-06,2.7126,2.9263,3.1351,2.8772,3.2389,3.5809
2029-07,2.7082,2.9240,3.1338,2.8687,3.2321,3.5782
2029-08,2.7044,2.9227,3.1348,2.8535,3.2226,3.5741
2029-09,2.6982,2.9181,3.1346,2.8504,3.2180,3.5695
2029-10,2.6948,2.9162,3.1349,2.8460,3.2118,3.5699
2029-11,2.6921,2.9157,3.1389,2.8467,3.2091,3.5678
2029-12,2.6896,2.9126,3.1366,2.8366,3.2039,3.5673
2030-01,2.6837,2.9113,3.1350,2.8332,3.1965,3.5644
2030-02,2.6816,2.9115,3.1384,2.8265,3.1927,3.5547
2030-03,2.6764,2.9089,3.1361,2.8254,3.1856,3.5553
2030-04,2.6744,2.9072,3.1409,2.8124,3.1815,3.5545
2030-05,2.6694,2.9077,3.1495,2.8104,3.1828,3.5502
2030-06,2.6649,2.9044,3.1466,2.8047,3.1782,3.5522
2030-07,2.6599,2.9008,3.1445,2.8019,3.1715,3.5433
2030-08,2.6569,2.8999,3.1431,2.7968,3.1702,3.5420
2030-09,2.6527,2.8965,3.1424,2.7875,3.1649,3.5386
2030-10,2.6512,2.8938,3.1449,2.7869,3.1597,3.5401
2030-11,2.6486,2.8941,3.1435,2.7809,3.1619,3.5380
2030-12,2.6469,2.8930,3.1409,2.7710,3.1573,3.5271
2031-01,2.6442,2.8899,3.1370,2.7716,3.1541,3.5295
2031-02,2.6423,2.8897,3.1368,2.7673,3.1490,3.5304
2031-03,2.6383,2.8863,3.1362,2.7608,3.1474,3.5301
2031-04,2.6365,2.8842,3.1402,2.7584,3.1462,3.5239
2031-05,2.6313,2.8842,3.1387,2.7553,3.1426,3.5261
2031-06,2.6287,2.8837,3.1368,2.7445,3.1420,3.5255
2031-07,2.6244,2.8822,3.1333,2.7430,3.1417,3.5214
